"Id","SleepDay","TotalMinutesAsleep","TotalTimeInBed"
1503960366,"4/12/2016 12:00:00 AM",327,346
1503960366,"4/13/2016 12:00:00 AM",384,407
1503960366,"4/15/2016 12:00:00 AM",412,442
1503960366,"4/16/2016 12:00:00 AM",340,367
1503960366,"4/17/2016 12:00:00 AM",700,712
1503960366,"4/19/2016 12:00:00 AM",304,320
1503960366,"4/20/2016 12:00:00 AM",360,377
1503960366,"4/21/2016 12:00:00 AM",325,364
1503960366,"4/23/2016 12:00:00 AM",361,384
1503960366,"4/24/2016 12:00:00 AM",430,449
1503960366,"4/25/2016 12:00:00 AM",277,323
1503960366,"4/26/2016 12:00:00 AM",245,274
1503960366,"4/28/2016 12:00:00 AM",366,393
1503960366,"4/29/2016 12:00:00 AM",341,354
1503960366,"4/30/2016 12:00:00 AM",404,425
1503960366,"5/1/2016 12:00:00 AM",369,396
1503960366,"5/2/2016 12:00:00 AM",277,309
1503960366,"5/3/2016 12:00:00 AM",273,296
1503960366,"5/5/2016 12:00:00 AM",247,264
1503960366,"5/6/2016 12:00:00 AM",334,367
1503960366,"5/7/2016 12:00:00 AM",331,349
1503960366,"5/8/2016 12:00:00 AM",594,611
1503960366,"5/9/2016 12:00:00 AM",338,342
1503960366,"5/10/2016 12:00:00 AM",383,403
1503960366,"5/11/2016 12:00:00 AM",285,306
1644430081,"4/29/2016 12:00:00 AM",119,127
1644430081,"4/30/2016 12:00:00 AM",124,142
1644430081,"5/2/2016 12:00:00 AM",796,961
1644430081,"5/8/2016 12:00:00 AM",137,154
1844505072,"4/15/2016 12:00:00 AM",644,961
1844505072,"4/30/2016 12:00:00 AM",722,961
1844505072,"5/1/2016 12:00:00 AM",590,961
1927972279,"4/12/2016 12:00:00 AM",750,775
1927972279,"4/13/2016 12:00:00 AM",398,422
1927972279,"4/15/2016 12:00:00 AM",475,499
1927972279,"4/26/2016 12:00:00 AM",296,315
1927972279,"4/28/2016 12:00:00 AM",166,178
2026352035,"4/12/2016 12:00:00 AM",503,546
2026352035,"4/13/2016 12:00:00 AM",531,565
2026352035,"4/14/2016 12:00:00 AM",545,568
2026352035,"4/15/2016 12:00:00 AM",523,573
2026352035,"4/16/2016 12:00:00 AM",524,567
2026352035,"4/17/2016 12:00:00 AM",437,498
2026352035,"4/19/2016 12:00:00 AM",498,540
